avl,result,task_cycles,cyc_per_elem,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
8,PASSED,59,7.375,127,14,0,0,3,1,5,5,2,1,0,6,8,4,6,3,0,0,0,9,1,1,51,8,4,3,6,3,1,0,2,51,1,48,16,0,0,1,0,0,0,0,0,0,1,4,3,2,1,1,0,4,0,0
16,PASSED,59,3.687,127,14,0,0,3,1,5,5,2,1,0,6,8,4,6,3,0,0,0,9,1,1,51,8,4,3,6,3,1,0,2,51,1,80,16,0,0,1,0,0,0,0,0,0,1,4,3,2,1,1,0,4,0,0
32,PASSED,59,1.843,127,14,0,0,3,1,5,5,2,1,0,6,8,4,6,3,0,0,0,9,1,1,51,8,4,3,6,3,1,0,2,51,1,144,16,0,0,1,0,0,0,0,0,0,1,4,3,2,1,1,0,4,0,0
64,PASSED,59,.921,127,14,0,0,3,1,5,5,2,1,0,6,8,4,6,3,0,0,0,9,1,1,51,8,4,3,6,3,1,0,2,51,1,272,16,0,0,1,0,0,0,0,0,0,1,4,3,2,1,1,0,4,0,0
128,PASSED,59,.460,127,14,0,0,3,1,5,5,2,1,0,6,8,4,6,3,0,0,0,9,1,1,51,8,4,3,6,3,1,0,2,51,1,528,16,0,0,1,0,0,0,0,0,0,1,4,3,2,1,1,0,4,0,0
256,PASSED,59,.230,127,14,0,0,3,1,5,5,2,1,0,6,8,4,6,3,0,0,0,9,1,1,51,8,4,3,6,3,1,0,2,51,1,1056,32,0,0,1,0,0,0,0,0,0,1,4,3,2,1,1,0,4,0,0
512,PASSED,196,.382,264,23,0,0,6,2,10,10,3,2,0,12,16,7,12,135,0,0,0,18,4,3,85,14,10,7,6,5,3,1,4,187,1,1056,1088,0,0,3,0,0,1,0,0,0,8,7,135,3,130,8,6,7,0,.333
1024,PASSED,536,.523,604,41,0,0,12,4,22,22,8,2,0,24,32,7,24,463,0,0,0,34,6,5,415,28,20,13,14,8,7,6,8,525,4,1056,3200,0,0,7,0,0,1,1,0,0,0,13,457,5,446,16,12,14,0,.857
2048,PASSED,1096,.535,1164,77,0,0,24,8,46,46,8,2,422,48,486,7,48,999,0,0,0,66,10,9,969,56,40,25,17,16,15,14,16,1081,8,1056,7424,0,0,15,0,0,1,1,0,0,0,25,981,9,958,32,24,28,0,.933
4096,PASSED,2216,.541,2284,149,0,0,48,16,94,94,8,2,1278,96,1406,7,96,2071,0,0,0,130,18,17,2089,112,80,49,18,32,31,30,32,2193,16,1056,15872,0,0,31,0,0,1,1,0,0,0,49,2029,17,1982,64,48,56,0,.967
